iter	Passed	Remaining
0	7	1158
1	9	686
2	11	574
3	17	641
4	22	649
5	26	645
6	29	611
7	33	592
8	35	558
9	38	538
10	40	513
11	43	496
12	45	483
13	50	490
14	53	478
15	55	463
16	58	454
17	60	440
18	63	438
19	67	436
20	71	436
21	72	424
22	74	409
23	77	405
24	79	396
25	82	391
26	83	382
27	85	374
28	87	366
29	89	358
30	96	369
31	98	364
32	100	357
33	104	355
34	106	350
35	108	342
36	110	338
37	114	337
38	116	331
39	118	326
40	124	329
41	126	324
42	128	320
43	130	315
44	133	310
45	135	306
46	138	304
47	142	303
48	144	298
49	149	298
50	150	292
51	154	290
52	156	286
53	159	283
54	161	279
55	163	275
56	166	271
57	167	266
58	170	262
59	172	259
60	174	255
61	176	250
62	180	249
63	183	247
64	186	244
65	193	246
66	196	243
67	198	239
68	201	236
69	206	236
70	208	232
71	210	228
72	215	226
73	219	224
74	224	224
75	226	220
76	229	217
77	233	215
78	238	214
79	243	212
80	246	210
81	250	207
82	253	204
83	255	201
84	257	197
85	260	193
86	262	190
87	265	187
88	268	183
89	271	181
90	275	178
91	278	175
92	281	172
93	284	169
94	287	166
95	290	163
96	294	160
97	298	158
98	302	155
99	307	153
100	309	150
101	315	148
102	320	146
103	324	143
104	330	141
105	334	138
106	339	136
107	342	133
108	347	130
109	355	129
110	362	127
111	366	124
112	370	121
113	375	118
114	379	115
115	383	112
116	388	109
117	390	106
118	394	102
119	400	100
120	404	97
121	413	94
122	417	91
123	422	88
124	430	86
125	434	82
126	439	79
127	442	76
128	446	72
129	453	69
130	456	66
131	462	63
132	467	59
133	471	56
134	473	52
135	476	49
136	479	45
137	484	42
138	489	38
139	498	35
140	506	32
141	514	28
142	517	25
143	522	21
144	529	18
145	535	14
146	539	11
147	545	7
148	550	3
149	554	0
